parcel_id,date,temperature_2m_max,precipitation_sum,et0_fao_evapotranspiration,ndvi,ndvi_lag_1,rain_lag_1,rain_sum_7d,temp_mean_7d,evap_sum_7d,target_ndvi_7d
Parsel_A,2025-02-12,4.2,0.8,1.35,0.3551791728646197,0.3551791728646197,0.0,1.5,1.8714285714285714,7.64,0.43683324089767905
Parsel_A,2025-02-13,0.5,8.4,0.53,0.3551791728646197,0.3551791728646197,0.8,9.6,1.9142857142857144,6.96,0.46405126357536547
Parsel_A,2025-02-14,1.2,0.0,1.39,0.3551791728646197,0.3551791728646197,8.4,9.2,2.157142857142857,7.34,0.4912692862530519
Parsel_A,2025-02-15,7.4,0.0,1.65,0.3551791728646197,0.3551791728646197,0.0,9.2,2.9285714285714284,7.92,0.5184873089307384
Parsel_A,2025-02-16,10.6,0.0,2.06,0.3551791728646197,0.3551791728646197,0.0,9.2,4.1571428571428575,9.01,0.5457053316084248
Parsel_A,2025-02-17,11.9,0.0,2.43,0.3823971955423061,0.3551791728646197,0.0,9.2,5.571428571428571,10.53,0.5729233542861112
Parsel_A,2025-02-18,10.7,3.8,1.41,0.4096152182199926,0.3823971955423061,0.0,13.0,6.642857142857143,10.82,0.6001413769637977
Parsel_A,2025-02-19,6.5,2.8,0.94,0.43683324089767905,0.4096152182199926,3.8,15.0,6.971428571428572,10.409999999999998,0.6273593996414841
Parsel_A,2025-02-20,1.3,0.0,1.36,0.46405126357536547,0.43683324089767905,2.8,6.6,7.085714285714286,11.24,0.6113011353663897
Parsel_A,2025-02-21,-2.0,0.0,1.43,0.4912692862530519,0.46405126357536547,0.0,6.6,6.628571428571428,11.280000000000001,0.5952428710912953
Parsel_A,2025-02-22,-1.7,0.2,1.61,0.5184873089307384,0.4912692862530519,0.0,6.8,5.328571428571429,11.24,0.5791846068162009
Parsel_A,2025-02-23,-2.3,0.0,1.61,0.5457053316084248,0.5184873089307384,0.2,6.8,3.4857142857142853,10.790000000000001,0.5631263425411065
Parsel_A,2025-02-24,-1.0,0.0,1.64,0.5729233542861112,0.5457053316084248,0.0,6.8,1.6428571428571428,10.0,0.547068078266012
Parsel_A,2025-02-25,4.4,0.0,2.03,0.6001413769637977,0.5729233542861112,0.0,3.0,0.742857142857143,10.620000000000001,0.5310098139909176
Parsel_A,2025-02-26,8.2,0.0,2.02,0.6273593996414841,0.6001413769637977,0.0,0.2,0.9857142857142858,11.700000000000001,0.5149515497158232
Parsel_A,2025-02-27,9.0,0.0,2.26,0.6113011353663897,0.6273593996414841,0.0,0.2,2.085714285714286,12.6,0.4988932854407288
Parsel_A,2025-02-28,9.9,0.0,1.8,0.5952428710912953,0.6113011353663897,0.0,0.2,3.7857142857142856,12.969999999999999,0.48283502116563437
Parsel_A,2025-03-01,10.4,0.6,2.01,0.5791846068162009,0.5952428710912953,0.0,0.6,5.514285714285714,13.370000000000001,0.46677675689054
Parsel_A,2025-03-02,12.9,0.0,2.53,0.5631263425411065,0.5791846068162009,0.6,0.6,7.685714285714285,14.29,0.47428439289550894
Parsel_A,2025-03-03,5.9,4.7,0.7,0.547068078266012,0.5631263425411065,0.0,5.3,8.671428571428573,13.35,0.48179202890047784
Parsel_A,2025-03-04,8.9,0.0,1.61,0.5310098139909176,0.547068078266012,4.7,5.3,9.314285714285715,12.93,0.4892996649054468
Parsel_A,2025-03-05,12.5,0.0,2.52,0.5149515497158232,0.5310098139909176,0.0,5.3,9.928571428571429,13.43,0.4968073009104157
Parsel_A,2025-03-06,14.4,0.0,2.89,0.4988932854407288,0.5149515497158232,0.0,5.3,10.700000000000001,14.059999999999999,0.5043149369153846
Parsel_A,2025-03-07,14.5,0.0,2.87,0.48283502116563437,0.4988932854407288,0.0,5.3,11.357142857142858,15.13,0.5030508724714169
Parsel_A,2025-03-08,16.1,0.0,2.98,0.46677675689054,0.48283502116563437,0.0,4.7,12.171428571428574,16.1,0.501786808027449
Parsel_A,2025-03-09,18.7,0.0,3.66,0.47428439289550894,0.46677675689054,0.0,4.7,13.0,17.23,0.47771617249999
Parsel_A,2025-03-10,19.1,0.0,3.56,0.48179202890047784,0.47428439289550894,0.0,0.0,14.885714285714286,20.09,0.45364553697253096
Parsel_A,2025-03-11,20.9,0.0,3.95,0.4892996649054468,0.48179202890047784,0.0,0.0,16.6,22.43,0.42957490144507193
Parsel_A,2025-03-12,21.5,0.0,4.47,0.4968073009104157,0.4892996649054468,0.0,0.0,17.885714285714286,24.380000000000003,0.4055042659176129
Parsel_A,2025-03-13,22.0,0.0,4.97,0.5043149369153846,0.4968073009104157,0.0,0.0,18.97142857142857,26.46,0.3814336303901539
Parsel_A,2025-03-14,23.1,0.0,4.2,0.5030508724714169,0.5043149369153846,0.0,0.0,20.2,27.79,0.3573629948626949
Parsel_A,2025-03-15,25.0,0.0,4.01,0.501786808027449,0.5030508724714169,0.0,0.0,21.47142857142857,28.82,0.3332923593352359
Parsel_A,2025-03-16,27.5,0.0,5.46,0.47771617249999,0.501786808027449,0.0,0.0,22.728571428571428,30.619999999999997,0.30922172380777685
Parsel_A,2025-03-17,23.2,1.0,4.79,0.45364553697253096,0.47771617249999,0.0,1.0,23.314285714285713,31.85,0.4974832891936325
Parsel_A,2025-03-18,18.7,0.2,4.9,0.42957490144507193,0.45364553697253096,1.0,1.2,23.0,32.8,0.6857448545794881
Parsel_A,2025-03-19,8.8,1.9,1.32,0.4055042659176129,0.42957490144507193,0.2,3.0999999999999996,21.185714285714283,29.65,0.6624055302890137
